mwmon primitives:
SYNC_PERIOD= 500
Work_time: 4.402728     Wakeup_tics: 491.000000    Call_tics: 861.000000


spinhalt primitives:
SYNC_PERIOD= 500
Work_time: 3.688751     Wakeup_tics: 39509.000000    Call_tics: 30709.000000
Work_time: 3.900039     Wakeup_tics: 37143.000000    Call_tics: 25459.000000
Work_time: 4.029811     Wakeup_tics: 40412.000000    Call_tics: 30702.000000
Work_time: 3.640491     Wakeup_tics: 36016.000000    Call_tics: 24290.000000
Work_time: 2.902781     Wakeup_tics: 36828.000000    Call_tics: 25893.000000
Work_time: 3.703813     Wakeup_tics: 40783.000000    Call_tics: 29162.000000
Work_time: 3.340593     Wakeup_tics: 30661.000000    Call_tics: 22701.000000
Work_time: 3.518447     Wakeup_tics: 40405.000000    Call_tics: 29526.000000
Work_time: 3.665272     Wakeup_tics: 36835.000000    Call_tics: 29008.000000
Work_time: 3.473607     Wakeup_tics: 39859.000000    Call_tics: 27811.000000
Work_time: 4.009954     Wakeup_tics: 39299.000000    Call_tics: 30625.000000
Work_time: 3.929674     Wakeup_tics: 32754.000000    Call_tics: 26033.000000
Work_time: 3.388484     Wakeup_tics: 40720.000000    Call_tics: 29680.000000
Work_time: 2.936801     Wakeup_tics: 35099.000000    Call_tics: 27195.000000
Work_time: 3.810181     Wakeup_tics: 40412.000000    Call_tics: 30051.000000
Work_time: 3.680701     Wakeup_tics: 40209.000000    Call_tics: 31185.000000
Work_time: 3.553141     Wakeup_tics: 43436.000000    Call_tics: 31920.000000
Work_time: 3.183353     Wakeup_tics: 37829.000000    Call_tics: 28616.000000
Work_time: 3.909142     Wakeup_tics: 32775.000000    Call_tics: 25186.000000
Work_time: 3.952648     Wakeup_tics: 31991.000000    Call_tics: 21868.000000
Work_time: 3.180217     Wakeup_tics: 41791.000000    Call_tics: 30660.000000
Work_time: 3.509627     Wakeup_tics: 52186.000000    Call_tics: 44331.000000
Work_time: 3.191496     Wakeup_tics: 33888.000000    Call_tics: 25074.000000
Work_time: 3.397102     Wakeup_tics: 35666.000000    Call_tics: 26670.000000
Work_time: 4.016243     Wakeup_tics: 30976.000000    Call_tics: 24304.000000
Work_time: 3.952694     Wakeup_tics: 41217.000000    Call_tics: 30366.000000
Work_time: 3.742650     Wakeup_tics: 34231.000000    Call_tics: 26747.000000
Work_time: 4.090449     Wakeup_tics: 39271.000000    Call_tics: 29652.000000
Work_time: 3.656402     Wakeup_tics: 38172.000000    Call_tics: 30268.000000
Work_time: 3.382281     Wakeup_tics: 36562.000000    Call_tics: 26327.000000
Work_time: 3.616644     Wakeup_tics: 37500.000000    Call_tics: 24626.000000
Work_time: 3.915134     Wakeup_tics: 34539.000000    Call_tics: 25340.000000
Work_time: 3.768497     Wakeup_tics: 32383.000000    Call_tics: 23562.000000
Work_time: 3.708224     Wakeup_tics: 38298.000000    Call_tics: 23513.000000
Work_time: 3.201034     Wakeup_tics: 36982.000000    Call_tics: 29022.000000
Work_time: 3.555501     Wakeup_tics: 37171.000000    Call_tics: 29813.000000
Work_time: 3.525803     Wakeup_tics: 37892.000000    Call_tics: 25753.000000
Work_time: 3.783279     Wakeup_tics: 38816.000000    Call_tics: 25970.000000
Work_time: 3.528363     Wakeup_tics: 33447.000000    Call_tics: 25725.000000
Work_time: 4.035692     Wakeup_tics: 34861.000000    Call_tics: 27209.000000


