mwmon primitives:
SYNC_PERIOD= 5
 Work time: tics: 9898293237.000000 , time=: 3.534827 seconds
 Work time: tics: 9593207743.000000 , time=: 3.425876 seconds
 Work time: tics: 9947792246.000000 , time=: 3.552504 seconds
 Work time: tics: 9403977394.000000 , time=: 3.358299 seconds
 Work time: tics: 8316455189.000000 , time=: 2.969929 seconds
 Work time: tics: 9144590252.000000 , time=: 3.265669 seconds
 Work time: tics: 9061690890.000000 , time=: 3.236064 seconds
 Work time: tics: 9874421725.000000 , time=: 3.526302 seconds
 Work time: tics: 10051572013.000000 , time=: 3.589565 seconds
 Work time: tics: 9216134291.000000 , time=: 3.291218 seconds
 Work time: tics: 9567054343.000000 , time=: 3.416537 seconds
 Work time: tics: 9736023262.000000 , time=: 3.476878 seconds
 Work time: tics: 10686746784.000000 , time=: 3.816395 seconds
 Work time: tics: 9440770962.000000 , time=: 3.371439 seconds
 Work time: tics: 9204299370.000000 , time=: 3.286992 seconds
 Work time: tics: 11295638928.000000 , time=: 4.033840 seconds
 Work time: tics: 9576064141.000000 , time=: 3.419754 seconds
 Work time: tics: 10424970409.000000 , time=: 3.722911 seconds
 Work time: tics: 9072468006.000000 , time=: 3.239913 seconds
 Work time: tics: 10464407947.000000 , time=: 3.736995 seconds
 Work time: tics: 9560736248.000000 , time=: 3.414280 seconds
 Work time: tics: 10194213596.000000 , time=: 3.640505 seconds
 Work time: tics: 10491988164.000000 , time=: 3.746844 seconds
 Work time: tics: 10164590163.000000 , time=: 3.629926 seconds
 Work time: tics: 9983222130.000000 , time=: 3.565156 seconds


SYNC_PERIOD= 50
 Work time: tics: 9813457843.000000 , time=: 3.504531 seconds
 Work time: tics: 9752951285.000000 , time=: 3.482923 seconds
 Work time: tics: 10840295634.000000 , time=: 3.871230 seconds
 Work time: tics: 10353445466.000000 , time=: 3.697369 seconds
 Work time: tics: 8985368966.000000 , time=: 3.208808 seconds
 Work time: tics: 8217378519.000000 , time=: 2.934547 seconds
 Work time: tics: 11034955659.000000 , time=: 3.940746 seconds
 Work time: tics: 10125825360.000000 , time=: 3.616082 seconds
 Work time: tics: 9463718817.000000 , time=: 3.379634 seconds
 Work time: tics: 9895927965.000000 , time=: 3.533982 seconds
 Work time: tics: 8178108302.000000 , time=: 2.920523 seconds
 Work time: tics: 10131616607.000000 , time=: 3.618150 seconds
 Work time: tics: 9880019268.000000 , time=: 3.528301 seconds
 Work time: tics: 9060343152.000000 , time=: 3.235583 seconds
 Work time: tics: 10535533750.000000 , time=: 3.762395 seconds
 Work time: tics: 10370196725.000000 , time=: 3.703351 seconds
 Work time: tics: 9837669940.000000 , time=: 3.513178 seconds
 Work time: tics: 9491707288.000000 , time=: 3.389629 seconds
 Work time: tics: 8602571600.000000 , time=: 3.072106 seconds
 Work time: tics: 9472297107.000000 , time=: 3.382697 seconds
 Work time: tics: 8343585887.000000 , time=: 2.979618 seconds
 Work time: tics: 9922196578.000000 , time=: 3.543363 seconds
 Work time: tics: 9915223864.000000 , time=: 3.540873 seconds
 Work time: tics: 10294095154.000000 , time=: 3.676174 seconds
 Work time: tics: 8809409294.000000 , time=: 3.145970 seconds
 Work time: tics: 10543255338.000000 , time=: 3.765153 seconds
 Work time: tics: 9316190933.000000 , time=: 3.326950 seconds
 Work time: tics: 11239808937.000000 , time=: 4.013902 seconds
 Work time: tics: 10213212604.000000 , time=: 3.647289 seconds
 Work time: tics: 9622806144.000000 , time=: 3.436446 seconds
 Work time: tics: 9913258908.000000 , time=: 3.540171 seconds
 Work time: tics: 8940713810.000000 , time=: 3.192861 seconds
 Work time: tics: 9096084431.000000 , time=: 3.248346 seconds
 Work time: tics: 9946855709.000000 , time=: 3.552169 seconds
 Work time: tics: 9827343085.000000 , time=: 3.509490 seconds
 Work time: tics: 9229850182.000000 , time=: 3.296116 seconds
 Work time: tics: 10019242765.000000 , time=: 3.578020 seconds
 Work time: tics: 9141896253.000000 , time=: 3.264706 seconds
 Work time: tics: 8796555789.000000 , time=: 3.141380 seconds
 Work time: tics: 10300356192.000000 , time=: 3.678410 seconds


SYNC_PERIOD= 100
 Work time: tics: 10218164705.000000 , time=: 3.649058 seconds
 Work time: tics: 10005370018.000000 , time=: 3.573066 seconds
 Work time: tics: 10569398630.000000 , time=: 3.774489 seconds
 Work time: tics: 9734171244.000000 , time=: 3.476217 seconds
 Work time: tics: 9725835091.000000 , time=: 3.473240 seconds
 Work time: tics: 9487986452.000000 , time=: 3.388300 seconds
 Work time: tics: 10577625639.000000 , time=: 3.777427 seconds
 Work time: tics: 10058326152.000000 , time=: 3.591977 seconds
 Work time: tics: 10354484357.000000 , time=: 3.697740 seconds
 Work time: tics: 10986077634.000000 , time=: 3.923291 seconds
 Work time: tics: 10049380845.000000 , time=: 3.588783 seconds
 Work time: tics: 8848090097.000000 , time=: 3.159784 seconds
 Work time: tics: 8954359624.000000 , time=: 3.197734 seconds
 Work time: tics: 8939972230.000000 , time=: 3.192596 seconds
 Work time: tics: 10082535302.000000 , time=: 3.600623 seconds
 Work time: tics: 9517308010.000000 , time=: 3.398772 seconds
 Work time: tics: 11417944594.000000 , time=: 4.077517 seconds
 Work time: tics: 9257829973.000000 , time=: 3.306108 seconds
 Work time: tics: 8611184043.000000 , time=: 3.075181 seconds
 Work time: tics: 8880278631.000000 , time=: 3.171279 seconds
 Work time: tics: 8663293471.000000 , time=: 3.093790 seconds
 Work time: tics: 10108185871.000000 , time=: 3.609783 seconds
 Work time: tics: 10321325343.000000 , time=: 3.685898 seconds
 Work time: tics: 10522830206.000000 , time=: 3.757858 seconds
 Work time: tics: 9341359405.000000 , time=: 3.335938 seconds
 Work time: tics: 8229538331.000000 , time=: 2.938890 seconds
 Work time: tics: 9822827903.000000 , time=: 3.507877 seconds
 Work time: tics: 8251462296.000000 , time=: 2.946719 seconds
 Work time: tics: 10216590573.000000 , time=: 3.648496 seconds
 Work time: tics: 9704001041.000000 , time=: 3.465442 seconds
 Work time: tics: 9150994776.000000 , time=: 3.267956 seconds
 Work time: tics: 10220120925.000000 , time=: 3.649756 seconds
 Work time: tics: 9714760391.000000 , time=: 3.469285 seconds
 Work time: tics: 9952735541.000000 , time=: 3.554269 seconds
 Work time: tics: 9599087421.000000 , time=: 3.427976 seconds
 Work time: tics: 9568176800.000000 , time=: 3.416938 seconds
 Work time: tics: 9317577241.000000 , time=: 3.327445 seconds
 Work time: tics: 9601757039.000000 , time=: 3.428930 seconds
 Work time: tics: 9531569103.000000 , time=: 3.403864 seconds
 Work time: tics: 9464208481.000000 , time=: 3.379809 seconds


SYNC_PERIOD= 150
 Work time: tics: 10438623650.000000 , time=: 3.727787 seconds
 Work time: tics: 9208964842.000000 , time=: 3.288658 seconds
 Work time: tics: 9833608106.000000 , time=: 3.511727 seconds
 Work time: tics: 8956490375.000000 , time=: 3.198495 seconds
 Work time: tics: 10240620026.000000 , time=: 3.657077 seconds
 Work time: tics: 9735542117.000000 , time=: 3.476706 seconds
 Work time: tics: 10052007469.000000 , time=: 3.589721 seconds
 Work time: tics: 10321284414.000000 , time=: 3.685883 seconds
 Work time: tics: 10160543981.000000 , time=: 3.628481 seconds
 Work time: tics: 8986670259.000000 , time=: 3.209273 seconds
 Work time: tics: 9291606233.000000 , time=: 3.318170 seconds
 Work time: tics: 9377612636.000000 , time=: 3.348884 seconds
 Work time: tics: 8667911805.000000 , time=: 3.095440 seconds
 Work time: tics: 8903186390.000000 , time=: 3.179460 seconds
 Work time: tics: 10395660856.000000 , time=: 3.712444 seconds
 Work time: tics: 8149894578.000000 , time=: 2.910448 seconds
 Work time: tics: 10204341371.000000 , time=: 3.644121 seconds
 Work time: tics: 9163137375.000000 , time=: 3.272292 seconds
 Work time: tics: 10013641939.000000 , time=: 3.576020 seconds
 Work time: tics: 9617802075.000000 , time=: 3.434659 seconds
 Work time: tics: 9258938241.000000 , time=: 3.306504 seconds
 Work time: tics: 8984441928.000000 , time=: 3.208477 seconds
 Work time: tics: 11292605947.000000 , time=: 4.032757 seconds
 Work time: tics: 9343186622.000000 , time=: 3.336590 seconds
 Work time: tics: 9855092121.000000 , time=: 3.519399 seconds
 Work time: tics: 9480044651.000000 , time=: 3.385464 seconds
 Work time: tics: 9287122369.000000 , time=: 3.316569 seconds
 Work time: tics: 9888306505.000000 , time=: 3.531261 seconds
 Work time: tics: 9989110922.000000 , time=: 3.567259 seconds
 Work time: tics: 8490774012.000000 , time=: 3.032181 seconds
 Work time: tics: 9985034990.000000 , time=: 3.565804 seconds
 Work time: tics: 9811134396.000000 , time=: 3.503701 seconds
 Work time: tics: 11032830025.000000 , time=: 3.939987 seconds
 Work time: tics: 9616137216.000000 , time=: 3.434065 seconds
 Work time: tics: 10550266657.000000 , time=: 3.767656 seconds
 Work time: tics: 8360813055.000000 , time=: 2.985770 seconds
 Work time: tics: 9240344911.000000 , time=: 3.299864 seconds
 Work time: tics: 10532179553.000000 , time=: 3.761197 seconds
 Work time: tics: 11065873966.000000 , time=: 3.951787 seconds
 Work time: tics: 9237644206.000000 , time=: 3.298899 seconds


SYNC_PERIOD= 200
 Work time: tics: 9296313915.000000 , time=: 3.319851 seconds
 Work time: tics: 10297837221.000000 , time=: 3.677510 seconds
 Work time: tics: 9960297900.000000 , time=: 3.556970 seconds
 Work time: tics: 8975035804.000000 , time=: 3.205118 seconds
 Work time: tics: 9506886571.000000 , time=: 3.395050 seconds
 Work time: tics: 10464955144.000000 , time=: 3.737190 seconds
 Work time: tics: 9097731881.000000 , time=: 3.248935 seconds
 Work time: tics: 10350603697.000000 , time=: 3.696354 seconds
 Work time: tics: 9645568800.000000 , time=: 3.444575 seconds
 Work time: tics: 9918847701.000000 , time=: 3.542167 seconds
 Work time: tics: 8781907939.000000 , time=: 3.136149 seconds
 Work time: tics: 10643590944.000000 , time=: 3.800984 seconds
 Work time: tics: 9368511705.000000 , time=: 3.345634 seconds
 Work time: tics: 9548860111.000000 , time=: 3.410039 seconds
 Work time: tics: 8779224755.000000 , time=: 3.135191 seconds
 Work time: tics: 10738067893.000000 , time=: 3.834723 seconds
 Work time: tics: 9716897946.000000 , time=: 3.470048 seconds
 Work time: tics: 9074820944.000000 , time=: 3.240753 seconds
 Work time: tics: 9811070556.000000 , time=: 3.503678 seconds
 Work time: tics: 10057195722.000000 , time=: 3.591573 seconds
 Work time: tics: 8587982830.000000 , time=: 3.066896 seconds
 Work time: tics: 10531365390.000000 , time=: 3.760906 seconds
 Work time: tics: 9276065904.000000 , time=: 3.312620 seconds
 Work time: tics: 9439743243.000000 , time=: 3.371072 seconds
 Work time: tics: 10874516933.000000 , time=: 3.883451 seconds
 Work time: tics: 9528295567.000000 , time=: 3.402695 seconds
 Work time: tics: 10712675631.000000 , time=: 3.825655 seconds
 Work time: tics: 11431867083.000000 , time=: 4.082489 seconds
 Work time: tics: 9257606701.000000 , time=: 3.306028 seconds
 Work time: tics: 8979799815.000000 , time=: 3.206819 seconds
 Work time: tics: 11172880761.000000 , time=: 3.990001 seconds
 Work time: tics: 11216173682.000000 , time=: 4.005462 seconds
 Work time: tics: 8566230638.000000 , time=: 3.059128 seconds
 Work time: tics: 10027758489.000000 , time=: 3.581061 seconds
 Work time: tics: 9721526339.000000 , time=: 3.471701 seconds
 Work time: tics: 10108290689.000000 , time=: 3.609820 seconds
 Work time: tics: 9281670475.000000 , time=: 3.314622 seconds
 Work time: tics: 9757699994.000000 , time=: 3.484619 seconds
 Work time: tics: 9539049422.000000 , time=: 3.406536 seconds
 Work time: tics: 10648787989.000000 , time=: 3.802840 seconds


SYNC_PERIOD= 250
 Work time: tics: 9367854146.000000 , time=: 3.345399 seconds
 Work time: tics: 8171660210.000000 , time=: 2.918221 seconds
 Work time: tics: 8666751611.000000 , time=: 3.095025 seconds
 Work time: tics: 11166562022.000000 , time=: 3.987745 seconds
 Work time: tics: 9208234686.000000 , time=: 3.288397 seconds
 Work time: tics: 8024737931.000000 , time=: 2.865753 seconds
 Work time: tics: 10389400875.000000 , time=: 3.710209 seconds
 Work time: tics: 11203266781.000000 , time=: 4.000852 seconds
 Work time: tics: 10335922093.000000 , time=: 3.691111 seconds
 Work time: tics: 10206765135.000000 , time=: 3.644987 seconds
 Work time: tics: 10640473221.000000 , time=: 3.799870 seconds
 Work time: tics: 8845872042.000000 , time=: 3.158992 seconds
 Work time: tics: 9198246491.000000 , time=: 3.284830 seconds
 Work time: tics: 9575315036.000000 , time=: 3.419487 seconds
 Work time: tics: 9936745581.000000 , time=: 3.548559 seconds
 Work time: tics: 10410673259.000000 , time=: 3.717805 seconds
 Work time: tics: 10739394666.000000 , time=: 3.835197 seconds
 Work time: tics: 9503667250.000000 , time=: 3.393900 seconds
 Work time: tics: 9357106801.000000 , time=: 3.341561 seconds
 Work time: tics: 10243179366.000000 , time=: 3.657991 seconds
 Work time: tics: 11268981801.000000 , time=: 4.024320 seconds
 Work time: tics: 9497830377.000000 , time=: 3.391816 seconds
 Work time: tics: 10847505263.000000 , time=: 3.873805 seconds
 Work time: tics: 9238420345.000000 , time=: 3.299177 seconds
 Work time: tics: 10657398143.000000 , time=: 3.805915 seconds
 Work time: tics: 9608795287.000000 , time=: 3.431443 seconds
 Work time: tics: 9437753808.000000 , time=: 3.370362 seconds
 Work time: tics: 10324966141.000000 , time=: 3.687198 seconds
 Work time: tics: 8741931653.000000 , time=: 3.121873 seconds
 Work time: tics: 9098980023.000000 , time=: 3.249380 seconds
 Work time: tics: 9748823924.000000 , time=: 3.481449 seconds
 Work time: tics: 8470489160.000000 , time=: 3.024937 seconds
 Work time: tics: 8426950840.000000 , time=: 3.009389 seconds
 Work time: tics: 9888036970.000000 , time=: 3.531164 seconds
 Work time: tics: 11570039467.000000 , time=: 4.131832 seconds
 Work time: tics: 9956198280.000000 , time=: 3.555506 seconds
 Work time: tics: 10423917441.000000 , time=: 3.722535 seconds
 Work time: tics: 9099897324.000000 , time=: 3.249708 seconds
 Work time: tics: 10056419051.000000 , time=: 3.591296 seconds
 Work time: tics: 10404941498.000000 , time=: 3.715759 seconds


SYNC_PERIOD= 300
 Work time: tics: 8432037642.000000 , time=: 3.011205 seconds
 Work time: tics: 9101749426.000000 , time=: 3.250369 seconds
 Work time: tics: 11192615707.000000 , time=: 3.997049 seconds
 Work time: tics: 9010066254.000000 , time=: 3.217628 seconds
 Work time: tics: 9411396330.000000 , time=: 3.360949 seconds
 Work time: tics: 10262721896.000000 , time=: 3.664970 seconds
 Work time: tics: 9125454541.000000 , time=: 3.258835 seconds
 Work time: tics: 10851416212.000000 , time=: 3.875201 seconds
 Work time: tics: 9404030426.000000 , time=: 3.358318 seconds
 Work time: tics: 8819564229.000000 , time=: 3.149597 seconds
 Work time: tics: 9642374413.000000 , time=: 3.443435 seconds
 Work time: tics: 9456860658.000000 , time=: 3.377185 seconds
 Work time: tics: 9693137790.000000 , time=: 3.461563 seconds
 Work time: tics: 9819583046.000000 , time=: 3.506718 seconds
 Work time: tics: 9825838848.000000 , time=: 3.508952 seconds
 Work time: tics: 9999608297.000000 , time=: 3.571008 seconds
 Work time: tics: 9369287018.000000 , time=: 3.345911 seconds
 Work time: tics: 9181113963.000000 , time=: 3.278712 seconds
 Work time: tics: 8678610115.000000 , time=: 3.099260 seconds
 Work time: tics: 8851512775.000000 , time=: 3.161006 seconds
 Work time: tics: 7994041027.000000 , time=: 2.854790 seconds
 Work time: tics: 10891391707.000000 , time=: 3.889477 seconds
 Work time: tics: 8767184846.000000 , time=: 3.130891 seconds
 Work time: tics: 8761778116.000000 , time=: 3.128961 seconds
 Work time: tics: 8847562094.000000 , time=: 3.159595 seconds
 Work time: tics: 9878782697.000000 , time=: 3.527859 seconds
 Work time: tics: 10607719045.000000 , time=: 3.788173 seconds
 Work time: tics: 11340683599.000000 , time=: 4.049926 seconds
 Work time: tics: 9875908105.000000 , time=: 3.526833 seconds
 Work time: tics: 8738227764.000000 , time=: 3.120550 seconds
 Work time: tics: 10205680863.000000 , time=: 3.644600 seconds
 Work time: tics: 9594418708.000000 , time=: 3.426309 seconds
 Work time: tics: 9906983072.000000 , time=: 3.537930 seconds
 Work time: tics: 10981261473.000000 , time=: 3.921571 seconds
 Work time: tics: 9140254893.000000 , time=: 3.264120 seconds
 Work time: tics: 10170791106.000000 , time=: 3.632140 seconds
 Work time: tics: 8245523447.000000 , time=: 2.944598 seconds
 Work time: tics: 8882833925.000000 , time=: 3.172191 seconds
 Work time: tics: 9985613939.000000 , time=: 3.566011 seconds
 Work time: tics: 9550610468.000000 , time=: 3.410664 seconds


SYNC_PERIOD= 400
 Work time: tics: 9770619873.000000 , time=: 3.489233 seconds
 Work time: tics: 9322141563.000000 , time=: 3.329075 seconds
 Work time: tics: 8573602695.000000 , time=: 3.061760 seconds
 Work time: tics: 9276754767.000000 , time=: 3.312866 seconds
 Work time: tics: 9893485693.000000 , time=: 3.533110 seconds
 Work time: tics: 8564771971.000000 , time=: 3.058607 seconds
 Work time: tics: 9430162294.000000 , time=: 3.367651 seconds
 Work time: tics: 9662587508.000000 , time=: 3.450653 seconds
 Work time: tics: 8871416743.000000 , time=: 3.168114 seconds
 Work time: tics: 9291943192.000000 , time=: 3.318290 seconds
 Work time: tics: 9729831349.000000 , time=: 3.474667 seconds
 Work time: tics: 10043485865.000000 , time=: 3.586677 seconds
 Work time: tics: 9118795987.000000 , time=: 3.256457 seconds
 Work time: tics: 9522673097.000000 , time=: 3.400687 seconds
 Work time: tics: 9268905576.000000 , time=: 3.310063 seconds
 Work time: tics: 10862808859.000000 , time=: 3.879270 seconds
 Work time: tics: 9355157791.000000 , time=: 3.340865 seconds
 Work time: tics: 8804283075.000000 , time=: 3.144140 seconds
 Work time: tics: 7627581171.000000 , time=: 2.723922 seconds
 Work time: tics: 9109375821.000000 , time=: 3.253093 seconds
 Work time: tics: 11891138686.000000 , time=: 4.246502 seconds
 Work time: tics: 9185469979.000000 , time=: 3.280267 seconds
 Work time: tics: 10894746443.000000 , time=: 3.890675 seconds
 Work time: tics: 8909385191.000000 , time=: 3.181673 seconds
 Work time: tics: 9747180919.000000 , time=: 3.480863 seconds
 Work time: tics: 8359075067.000000 , time=: 2.985149 seconds
 Work time: tics: 9236282370.000000 , time=: 3.298413 seconds
 Work time: tics: 10537512181.000000 , time=: 3.763102 seconds
 Work time: tics: 10011785973.000000 , time=: 3.575357 seconds
 Work time: tics: 10495944865.000000 , time=: 3.748257 seconds
 Work time: tics: 9590967008.000000 , time=: 3.425076 seconds
 Work time: tics: 9409209481.000000 , time=: 3.360168 seconds
 Work time: tics: 9490169577.000000 , time=: 3.389080 seconds
 Work time: tics: 9821168210.000000 , time=: 3.507285 seconds
 Work time: tics: 9116566830.000000 , time=: 3.255661 seconds
 Work time: tics: 10952411981.000000 , time=: 3.911268 seconds
 Work time: tics: 10053270899.000000 , time=: 3.590172 seconds
 Work time: tics: 8639814904.000000 , time=: 3.085406 seconds
 Work time: tics: 9006524527.000000 , time=: 3.216363 seconds
 Work time: tics: 9750078737.000000 , time=: 3.481897 seconds


SYNC_PERIOD= 500
 Work time: tics: 10094427063.000000 , time=: 3.604869 seconds
 Work time: tics: 8908926271.000000 , time=: 3.181509 seconds
 Work time: tics: 10055698450.000000 , time=: 3.591039 seconds
