spinhalt primitives:
SYNC_PERIOD= 5
 Work time: tics: 9901029719.000000 , time=: 3.535804 seconds
 Work time: tics: 11006026591.000000 , time=: 3.930415 seconds
 Work time: tics: 10187539005.000000 , time=: 3.638121 seconds
 Work time: tics: 9536820223.000000 , time=: 3.405740 seconds
 Work time: tics: 10114764975.000000 , time=: 3.612132 seconds
 Work time: tics: 10148187210.000000 , time=: 3.624068 seconds
 Work time: tics: 10644043620.000000 , time=: 3.801145 seconds
 Work time: tics: 9115619401.000000 , time=: 3.255323 seconds
 Work time: tics: 9236814272.000000 , time=: 3.298603 seconds
 Work time: tics: 9871734068.000000 , time=: 3.525342 seconds
 Work time: tics: 10962388444.000000 , time=: 3.914831 seconds
 Work time: tics: 10623446764.000000 , time=: 3.793790 seconds
 Work time: tics: 9511344759.000000 , time=: 3.396642 seconds
 Work time: tics: 11374467825.000000 , time=: 4.061991 seconds
 Work time: tics: 9727141816.000000 , time=: 3.473706 seconds
 Work time: tics: 9846570727.000000 , time=: 3.516356 seconds
 Work time: tics: 10406100775.000000 , time=: 3.716173 seconds
 Work time: tics: 10672907798.000000 , time=: 3.811453 seconds
 Work time: tics: 9647319381.000000 , time=: 3.445201 seconds
 Work time: tics: 9025062830.000000 , time=: 3.222983 seconds
 Work time: tics: 9897238155.000000 , time=: 3.534450 seconds
 Work time: tics: 9342143307.000000 , time=: 3.336218 seconds
 Work time: tics: 10056534145.000000 , time=: 3.591337 seconds
 Work time: tics: 10834814963.000000 , time=: 3.869273 seconds


SYNC_PERIOD= 100
 Work time: tics: 10278518992.000000 , time=: 3.670611 seconds
 Work time: tics: 9255682023.000000 , time=: 3.305341 seconds
 Work time: tics: 9049701794.000000 , time=: 3.231782 seconds
 Work time: tics: 10666605089.000000 , time=: 3.809203 seconds
 Work time: tics: 10737833120.000000 , time=: 3.834639 seconds
 Work time: tics: 10329737544.000000 , time=: 3.688902 seconds
 Work time: tics: 10240191549.000000 , time=: 3.656924 seconds
 Work time: tics: 10704507737.000000 , time=: 3.822738 seconds
 Work time: tics: 11856814186.000000 , time=: 4.234244 seconds
 Work time: tics: 9750884934.000000 , time=: 3.482185 seconds
 Work time: tics: 10322129930.000000 , time=: 3.686185 seconds
 Work time: tics: 10243254182.000000 , time=: 3.658018 seconds
 Work time: tics: 10132980368.000000 , time=: 3.618637 seconds
 Work time: tics: 10331716234.000000 , time=: 3.689609 seconds
 Work time: tics: 8467306106.000000 , time=: 3.023800 seconds
 Work time: tics: 10147895212.000000 , time=: 3.623964 seconds
 Work time: tics: 9621588333.000000 , time=: 3.436012 seconds
 Work time: tics: 9204266897.000000 , time=: 3.286980 seconds
 Work time: tics: 9559377975.000000 , time=: 3.413795 seconds
 Work time: tics: 10516339288.000000 , time=: 3.755540 seconds
 Work time: tics: 9802872191.000000 , time=: 3.500751 seconds
 Work time: tics: 9100302512.000000 , time=: 3.249853 seconds
 Work time: tics: 9270183986.000000 , time=: 3.310520 seconds
 Work time: tics: 9915207043.000000 , time=: 3.540867 seconds
 Work time: tics: 9822649011.000000 , time=: 3.507813 seconds
 Work time: tics: 9326628661.000000 , time=: 3.330677 seconds
 Work time: tics: 8722937958.000000 , time=: 3.115090 seconds
 Work time: tics: 11206174770.000000 , time=: 4.001891 seconds
 Work time: tics: 9038124620.000000 , time=: 3.227648 seconds
