pthread primitives:
SYNC_PERIOD= 5
 Work time: tics: 9847100172.000000 , time=: 3.516545 seconds
 Work time: tics: 10561754924.000000 , time=: 3.771759 seconds
 Work time: tics: 9795759715.000000 , time=: 3.498211 seconds
 Work time: tics: 9144810549.000000 , time=: 3.265747 seconds
 Work time: tics: 10291544739.000000 , time=: 3.675263 seconds
 Work time: tics: 9187470019.000000 , time=: 3.280982 seconds
 Work time: tics: 9962304681.000000 , time=: 3.557686 seconds
 Work time: tics: 9519329064.000000 , time=: 3.399493 seconds
 Work time: tics: 10107764793.000000 , time=: 3.609632 seconds
 Work time: tics: 9972916506.000000 , time=: 3.561476 seconds
 Work time: tics: 9702963648.000000 , time=: 3.465072 seconds
 Work time: tics: 9218811322.000000 , time=: 3.292174 seconds
 Work time: tics: 8855692398.000000 , time=: 3.162499 seconds
 Work time: tics: 9885106861.000000 , time=: 3.530118 seconds
 Work time: tics: 10754218104.000000 , time=: 3.840490 seconds
 Work time: tics: 9601350241.000000 , time=: 3.428784 seconds
 Work time: tics: 10363693508.000000 , time=: 3.701028 seconds
 Work time: tics: 10154203171.000000 , time=: 3.626216 seconds
 Work time: tics: 9234238251.000000 , time=: 3.297683 seconds
 Work time: tics: 9575792520.000000 , time=: 3.419657 seconds


SYNC_PERIOD= 50
 Work time: tics: 10602623416.000000 , time=: 3.786354 seconds
 Work time: tics: 9751408219.000000 , time=: 3.482372 seconds
 Work time: tics: 9517866694.000000 , time=: 3.398971 seconds
 Work time: tics: 8899078888.000000 , time=: 3.177993 seconds
 Work time: tics: 10400423089.000000 , time=: 3.714145 seconds
 Work time: tics: 10048346245.000000 , time=: 3.588413 seconds
 Work time: tics: 10403673231.000000 , time=: 3.715306 seconds
 Work time: tics: 10774885408.000000 , time=: 3.847871 seconds
 Work time: tics: 9762926747.000000 , time=: 3.486486 seconds
 Work time: tics: 10471108522.000000 , time=: 3.739388 seconds
 Work time: tics: 9221926231.000000 , time=: 3.293286 seconds
 Work time: tics: 10363775471.000000 , time=: 3.701058 seconds
 Work time: tics: 9983699040.000000 , time=: 3.565327 seconds
 Work time: tics: 10031981890.000000 , time=: 3.582569 seconds
 Work time: tics: 10735890781.000000 , time=: 3.833945 seconds
 Work time: tics: 10070884397.000000 , time=: 3.596462 seconds
 Work time: tics: 10909252872.000000 , time=: 3.895856 seconds
 Work time: tics: 11093596395.000000 , time=: 3.961687 seconds
 Work time: tics: 10566051944.000000 , time=: 3.773294 seconds
 Work time: tics: 9813006294.000000 , time=: 3.504370 seconds
 Work time: tics: 10463577551.000000 , time=: 3.736698 seconds
 Work time: tics: 8684713408.000000 , time=: 3.101440 seconds
 Work time: tics: 9100095907.000000 , time=: 3.249779 seconds
 Work time: tics: 10279117996.000000 , time=: 3.670825 seconds
